Total Number of Aligned Reads:	54826	Total Number of Mapped Genomes:	1687
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|478|org|Moraxella_nonliquefaciens|accession|NZ_LXTW01000013.1	0.46688503958536604	0.3227300915623974	17694.0	0.3227300915623974	0.0	0.22186445554542622	0.16139240506329114	8848.5	0.028344216247765657	0.2942217196220771
ti|883103|org|Dolosigranulum_pigrum_ATCC_51524|accession|NZ_JH601104.1	0.13083125031107073	0.08700251705395251	4770.0	0.17395031554372015	5.4718564184875786e-05	0.13083125031107073	0.08699339729325503	4769.5	0.17395031554372015	3.647904278991719e-05
ti|883103|org|Dolosigranulum_pigrum_ATCC_51524|accession|NZ_JH601103.1	0.13083125031107073	0.08702075657534747	4771.0	0.1739685550651151	5.4718564184875786e-05	0.13083125031107073	0.08701163681464999	4770.5	0.1739685550651151	3.647904278991719e-05
ti|525260|org|Corynebacterium_accolens_ATCC_49725|accession|NZ_GG666997.1	0.08871316170441555	0.2972677196950352	16298.0	0.2972677196950352	0.0	0.06926291122248081	0.28728158173129537	15750.5	0.21033816072666253	0.07697078028672527
ti|176280|org|Staphylococcus_epidermidis_ATCC_12228|accession|NC_004461.1	0.06652027645435601	0.042862875278152704	2350.0	0.042844635756757746	1.8239521394958596e-05	0.013433361426553225	0.03678675509649864	2016.8706349206345	5.4718564184875786e-05	0.04113012074563163
ti|911238|org|Staphylococcus_simiae_CCM_7213|accession|NZ_AEUN01000485.1	0.04274906238301313	0.02480574909714369	1360.0	0.02480574909714369	0.0	0.012195609143197637	0.011278610715921478	618.361111111111	9.119760697479298e-05	0.022562287965563782
ti|1304|org|Streptococcus_salivarius|accession|NZ_CP009913.1	0.020151456086019214	0.017984168095429177	986.0	0.017984168095429177	0.0	0.011896442232747082	0.01739138365009302	953.5	0.017218108196840914	0.00020063473534454455
ti|1121368|org|Corynebacterium_pseudodiphtheriticum_DSM_44287|accession|NZ_JIAH01000003.1	0.017231092755348235	0.02573596468828658	1411.0	0.02573596468828658	0.0	0.01723011957852504	0.02575420420968154	1412.0	0.02575420420968154	0.0
ti|365659|org|Streptococcus_mitis_B6|accession|NC_013853.1	0.010564108724800451	0.01052420384489111	577.0	0.01052420384489111	0.0	0.00584083169850409	0.010022617006529748	549.5	0.006821581001714515	0.00324663480830263
ti|267747|org|Cutibacterium_acnes_KPA171202|accession|NC_006085.1	0.003785393112755286	0.008025389413781782	440.0	0.008025389413781782	0.0	0.0028475051102366798	0.007998030131689345	438.5	0.008007149892386824	1.8239521394958596e-05
ti|1123233|org|Salinicoccus_luteus_DSM_17002|accession|NZ_JONV01000003.1	0.0030251492837071337	0.001440922190201729	79.0	0.001440922190201729	0.0	0.003022200983459155	0.001440922190201729	79.0	0.0014226826688067706	1.8239521394958596e-05
ti|525640|org|Paracoccus_chinensis|accession|NZ_FNGE01000043.1	0.0014274817979802626	0.0014774012329916463	81.0	0.0014774012329916463	0.0	0.00039457881228014297	0.0014226826688067706	78.0	3.647904278991719e-05	0.0013862036260168533
ti|147645|org|Paracoccus_yeei|accession|NZ_CP020442.2	0.0014207248495059436	0.003957976142706016	217.0	0.003957976142706016	0.0	0.0008935359718110682	0.003830299492941305	210.0	0.003210155765512713	0.0006201437274285923
ti|398578|org|Delftia_acidovorans_SPH-1|accession|NC_010002.1	0.001074647281880485	0.0007113413344033853	39.0	0.0007113413344033853	0.0	0.0010283902247999219	0.0007113413344033853	39.0	0.0007113413344033853	0.0
